Sample Name,Site,ARC,Season,Sample_dates,Pea_variety,Plot,season_precip,irrgation,total_precip_irr,sample_depth,Date,Tillage,prev_crop,grain_yield,elevation,lat,lon,Organic_Matter,Moisture_Content,Nitrate_Nitrite,Ammonia,Av_Phosphorus,Av_Potassium,Sulfate_Sulfur,pH,Boron,Arsenic,Barium,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Molybdenum,Nickel,Phosphorus,Potassium,Sodium,Sulfur,Vanadium,Zinc
JZ038,Huntley Dryland ,SARC,Summer,8/5/2016,CDC Saffron,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,847,830,45.922,-108.244,1.3,11,3.3,2.9,7.1,220,3.1,7.3,0.56,38,180,1.5,13000,33,9.6,16,22000,38,7800,380,3.8,27,690,3300,380,300,47,75
JZ036,Huntley Dryland ,SARC,Summer,8/5/2016,AC Earlystar,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,877,830,45.922,-108.244,1.3,8.9,5.3,2.7,12,270,3,7,0.42,38,270,1.5,12000,50,16,25,35000,38,10000,690,3.8,39,1000,5800,380,340,72,120
JZ041,Huntley Irrigated,SARC,Summer,8/5/2016,Delta,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1535,830,45.922,-108.244,1.6,16,9.6,5,5.1,240,4.1,7.4,0.61,38,180,1.5,11000,30,9.9,18,23000,38,8500,400,3.8,28,860,3100,380,370,43,85
JZ047,Huntley Irrigated,SARC,Summer,8/5/2016,Navarro,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1142,830,45.922,-108.244,1.7,16,10,4.9,6.3,230,4.4,7.4,0.64,38,180,1.5,11000,29,9.3,18,23000,38,8400,410,3.8,26,840,3200,380,350,42,86
JZ043,Huntley Irrigated,SARC,Summer,8/5/2016,DS Admiral,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1911,830,45.922,-108.244,1.7,15,12,4.1,6.8,220,4.7,7.5,0.51,38,180,1.5,11000,29,9.2,18,24000,38,8600,400,5.3,26,890,3200,380,380,44,87
JZ045,Huntley Irrigated,SARC,Summer,8/5/2016,Majoret,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1300,830,45.922,-108.244,1.6,15,15,4.1,6.8,230,5.6,7.5,0.52,38,180,1.5,12000,30,10,18,23000,38,8300,410,3.8,27,860,3200,380,360,45,89
JZ039,Huntley Irrigated,SARC,Summer,8/5/2016,CDC Saffron,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1798,830,45.922,-108.244,1.6,15,11,4,5.7,220,5.1,7.7,0.51,38,170,1.5,11000,28,9.4,17,23000,38,8200,390,3.8,26,840,3100,380,360,42,84
JZ037,Huntley Irrigated,SARC,Summer,8/5/2016,AC Earlystar,Irrigated,8.79,2.5,11.29,0_12,Summer 2016,No_till,barley,1704,830,45.922,-108.244,1.6,16,13,4.1,6.5,210,5.3,7.5,0.57,38,180,1.5,11000,28,9.7,18,22000,38,8200,400,3.8,26,860,3000,380,360,41,83
JZ050,Havre ,NARC,Summer,7/28/2016,Jet Set,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2636,826,48.497,-109.801,1.3,10,2.5,3,11,180,1.8,7.6,0.37,38,150,1.5,10000,19,7.6,15,17000,38,5400,350,3.8,23,540,2700,380,290,34,61
JZ068,Havre ,NARC,Summer,7/28/2016,Jet Set,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2636,826,48.497,-109.801,1.4,8.7,1.2,3.6,3.2,110,2.1,7.8,0.33,38,150,1.5,34000,17,6.6,14,15000,38,8400,280,3.8,26,560,1700,380,630,28,56
JZ056,Havre ,NARC,Summer,7/28/2016,Jet Set,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2636,826,48.497,-109.801,0.91,9.1,2.2,4,2,100,2.1,8.1,0.35,38,330,1.5,46000,14,5.6,13,14000,38,11000,340,3.8,25,490,1500,380,810,22,54
JZ062,Havre ,NARC,Summer,7/28/2016,Jet Set,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2636,826,48.497,-109.801,0.78,13,7.9,4.9,3.2,120,7.5,8.4,0.66,38,350,1.5,32000,14,7.8,15,15000,38,11000,450,3.8,21,530,1600,380,690,22,61
JZ049,Havre ,NARC,Summer,7/28/2016,Hampton,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2797,826,48.497,-109.801,1.5,9.4,2.6,3.3,7.7,160,2.9,7.7,0.39,38,160,1.5,22000,19,7.3,15,16000,38,6700,340,3.8,25,530,2400,380,470,33,64
JZ067,Havre ,NARC,Summer,7/28/2016,Hampton,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2797,826,48.497,-109.801,1.3,12,2.1,4.4,5.8,180,2,7.6,0.4,38,150,1.5,24000,23,7,15,16000,38,7300,340,3.8,25,520,2400,380,460,33,63
JZ055,Havre ,NARC,Summer,7/28/2016,Hampton,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2797,826,48.497,-109.801,0.88,10,1.5,3.6,2,110,2.1,8.2,0.41,38,200,1.5,36000,16,7.1,13,14000,38,10000,290,3.8,29,480,1600,380,650,25,57
JZ061,Havre ,NARC,Summer,7/28/2016,Hampton,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2797,826,48.497,-109.801,0.86,13,5.7,4.8,2.9,130,150,8.1,0.83,38,320,1.5,36000,17,6.6,16,15000,38,12000,340,3.8,27,540,1700,430,2000,25,62
JZ052,Havre ,NARC,Summer,7/28/2016,Navarro,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2305,826,48.497,-109.801,1.3,10,5.8,2.7,11,180,3.9,7.8,0.43,38,160,1.5,10000,22,6.7,16,17000,38,5500,360,3.8,24,550,2700,380,290,35,64
JZ070,Havre ,NARC,Summer,7/28/2016,Navarro,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2305,826,48.497,-109.801,1.3,11,2.2,3.8,2.8,98,2,7.9,0.43,38,170,1.5,49000,17,7.7,15,16000,38,9800,270,3.8,26,560,1800,380,790,28,63
JZ058,Havre ,NARC,Summer,7/28/2016,Navarro,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2305,826,48.497,-109.801,0.91,10,2.9,3.9,2,86,2.1,8.3,0.41,38,180,1.5,43000,15,6.8,13,14000,38,11000,280,3.8,24,520,1500,380,700,22,56
JZ064,Havre ,NARC,Summer,7/28/2016,Navarro,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2305,826,48.497,-109.801,0.78,14,9.5,6.2,3.2,110,5.7,8.6,0.86,38,270,1.5,32000,14,7.3,14,15000,38,12000,330,3.8,25,540,1700,440,640,22,62
JZ048,Havre ,NARC,Summer,7/28/2016,Delta,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2132,826,48.497,-109.801,1.3,13,4.9,4.1,17,180,1.3,7.5,0.41,38,160,1.5,6800,22,8.2,15,18000,38,5200,370,3.8,24,610,3200,380,210,35,68
JZ066,Havre ,NARC,Summer,7/28/2016,Delta,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2132,826,48.497,-109.801,1.4,9.5,1.4,4.1,4,110,1.6,7.8,0.51,38,160,1.5,29000,18,7.7,15,15000,38,8000,280,3.8,27,570,1900,380,560,28,64
JZ054,Havre ,NARC,Summer,7/28/2016,Delta,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2132,826,48.497,-109.801,1.2,10,3,4.1,2.3,120,2.6,8.2,0.5,38,220,1.5,53000,16,6.6,13,15000,38,11000,340,3.8,25,550,1700,380,890,24,59
JZ060,Havre ,NARC,Summer,7/28/2016,Delta,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2132,826,48.497,-109.801,1.1,14,7.7,4.9,4.2,110,97,8.1,0.85,38,200,1.5,33000,13,6.8,12,14000,38,11000,340,3.8,22,490,1500,390,1500,20,54
JZ053,Havre ,NARC,Summer,7/28/2016,Nette 2010,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2508,826,48.497,-109.801,1.5,11,4.4,3.6,11,180,3.7,7.7,0.5,38,170,1.5,13000,20,7.8,15,19000,38,6000,410,3.8,25,580,3000,380,300,37,65
JZ071,Havre ,NARC,Summer,7/28/2016,Nette 2010,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2508,826,48.497,-109.801,1.4,9.3,1.6,4,2.2,100,1.7,7.9,0.47,38,170,1.5,44000,17,7.4,13,16000,38,9300,270,3.8,23,580,1800,380,720,28,61
JZ059,Havre ,NARC,Summer,7/28/2016,Nette 2010,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2508,826,48.497,-109.801,0.96,8.7,2.5,4.4,2,110,2,8.3,0.45,38,170,1.5,41000,17,6.9,13,15000,38,11000,290,3.8,26,540,1700,380,690,24,60
JZ065,Havre ,NARC,Summer,7/28/2016,Nette 2010,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2508,826,48.497,-109.801,1,12,8,3.9,3.2,98,4.2,8.5,0.77,38,280,1.5,29000,15,7.8,13,16000,38,11000,360,3.8,24,580,1600,380,540,23,61
JZ051,Havre ,NARC,Summer,7/28/2016,Majoret,Dryland,8.03,0,8.03,0_6,Summer 2016,No_till,spring_wheat,2459,826,48.497,-109.801,1.5,11,2.9,3.2,11,180,1.3,7.8,0.5,38,160,1.5,8400,22,8.4,15,18000,38,5400,370,3.8,26,550,3100,380,250,36,68
JZ069,Havre ,NARC,Summer,7/28/2016,Majoret,Dryland,8.03,0,8.03,6_12,Summer 2016,No_till,spring_wheat,2459,826,48.497,-109.801,1.5,10,1.3,3.6,2.4,86,1.8,7.7,0.46,38,180,1.5,53000,18,7.5,15,16000,38,10000,260,3.8,28,650,1800,380,900,29,61
JZ057,Havre ,NARC,Summer,7/28/2016,Majoret,Dryland,8.03,0,8.03,12_24,Summer 2016,No_till,spring_wheat,2459,826,48.497,-109.801,1,10,2.4,4.4,2,94,2.3,8.1,0.47,38,260,1.5,47000,17,7.6,14,16000,38,12000,280,3.8,24,570,1700,380,790,26,61
JZ063,Havre ,NARC,Summer,7/28/2016,Majoret,Dryland,8.03,0,8.03,24_36,Summer 2016,No_till,spring_wheat,2459,826,48.497,-109.801,0.69,10,6.4,4.6,2,86,3.8,8.4,0.54,38,270,1.5,30000,13,6.2,11,13000,38,9800,350,3.8,23,530,1400,380,550,18,51
JZ072,Havre ,NARC,Summer,7/28/2016,AC Earlystar,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2164,826,48.497,-109.801,1.4,11,3.6,3.1,12,150,6,7.8,0.39,38,160,1.5,31000,19,7.5,13,17000,38,8400,320,3.8,27,600,2400,380,580,30,65
JZ074,Havre ,NARC,Summer,7/28/2016,Delta,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2132,826,48.497,-109.801,1.3,9.7,1.8,3.5,7.4,110,1.5,7.8,0.4,38,160,1.5,36000,18,8.1,14,17000,38,8500,310,3.8,28,670,2100,380,620,29,64
JZ076,Havre ,NARC,Summer,7/28/2016,Majoret,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2459,826,48.497,-109.801,1.5,13,2.2,2.2,4.4,110,1.3,7.8,0.39,38,160,1.5,38000,18,7.2,13,16000,38,8900,290,3.8,25,620,2100,380,610,28,63
JZ077,Havre ,NARC,Summer,7/28/2016,Navarro,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2305,826,48.497,-109.801,1.5,12,3.5,1.6,4.8,120,1.7,7.8,0.46,38,160,1.5,43000,18,7.2,14,16000,38,8500,220,3.8,25,590,2100,380,690,28,58
JZ073,Havre ,NARC,Summer,7/28/2016,CDC Saffron,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2979,826,48.497,-109.801,1.5,11,2.2,1.9,5.1,120,1.9,7.8,0.42,38,170,1.5,41000,19,7.4,14,16000,38,8600,300,3.8,27,600,2200,380,720,30,63
JZ075,Havre ,NARC,Summer,7/28/2016,DS Admiral,Dryland,8.03,0,8.03,Rhizoshpere,Summer 2016,No_till,spring_wheat,2562,826,48.497,-109.801,1.3,11,3.6,2.5,8.9,140,1.3,7.9,0.41,38,160,1.5,28000,34,6.7,15,16000,38,7100,340,3.8,28,580,2200,380,540,31,58
JZ081,Moccasin,CARC,Summer,8/9/2016,DS Admiral,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1428,1293,47.056,-109.95,3.7,16,9.4,3.1,5.9,120,1.8,7.4,0.38,38,270,1.5,30000,23,7.5,16,19000,38,4900,370,3.8,27,770,3600,380,880,43,83
JZ078,Moccasin,CARC,Summer,8/9/2016,AC Earlystar,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1285,1293,47.056,-109.95,3.6,15,9.1,1.9,6.1,120,2,7.4,0.34,38,270,1.5,37000,23,8.5,16,20000,38,4800,440,3.8,30,750,3500,380,980,45,83
JZ082,Moccasin,CARC,Summer,8/9/2016,Majoret,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1265,1293,47.056,-109.95,3.7,15,9.4,2.3,6.9,130,2.1,7.5,0.35,38,260,1.5,29000,22,7.5,15,20000,38,4600,390,3.8,28,720,3600,380,880,42,82
JZ079,Moccasin,CARC,Summer,8/11/2016,CDC Saffron,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1569,1293,47.056,-109.95,3.4,16,7.9,2.2,5.5,130,1.8,7.5,0.48,38,280,1.5,35000,22,8.8,16,20000,38,4900,410,3.8,26,780,3600,380,930,45,84
JZ080,Moccasin,CARC,Summer,8/13/2016,Delta,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1405,1293,47.056,-109.95,3.7,16,12,3.4,6.9,120,2.8,7.5,0.42,38,270,1.5,44000,22,7.7,15,20000,38,5000,370,3.8,29,830,3500,380,1100,42,84
JZ083,Moccasin,CARC,Summer,8/9/2016,Navarro,Dryland,10.73,0,10.73,0_12,Summer 2016,No_till,winter_wheat,1279,1293,47.056,-109.95,3.4,16,18,2.6,6.2,140,2.5,7.4,0.42,38,280,1.5,20000,24,8.4,16,21000,38,4700,420,3.8,27,730,3900,380,820,45,89
JZ105,Conrad,WTARC,Summer,9/1/2016,Majoret,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,2367,1130,48.313,-111.925,2,17,8.4,1,16,160,9.4,7.6,0.42,38,240,1.5,13000,24,8,21,21000,38,5900,250,3.8,31,580,3700,380,410,57,99
JZ107,Conrad,WTARC,Summer,9/1/2016,CDC Saffron,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,4367,1130,48.313,-111.925,2,17,9.8,0.83,14,160,29,7.7,0.47,38,240,1.5,14000,23,7.1,18,19000,38,5500,260,3.8,29,560,3700,380,460,52,89
JZ103,Conrad,WTARC,Summer,9/1/2016,DS Admiral,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,3239,1130,48.313,-111.925,1.9,10,7,0.76,16,160,8.6,7.6,0.41,38,220,1.5,17000,20,6.8,17,18000,38,5400,270,3.8,26,550,3400,380,450,49,85
JZ102,Conrad,WTARC,Summer,9/1/2016,AC Earlystar,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,4852,1130,48.313,-111.925,1.5,12,6.6,0.72,14,230,6.7,7.1,0.36,38,190,1.5,3300,21,6.9,14,18000,38,4500,320,3.8,23,500,4300,380,220,45,81
JZ106,Conrad,WTARC,Summer,9/1/2016,Navarro,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,4283,1130,48.313,-111.925,2,12,8,1.8,17,190,7.1,7.3,0.39,38,230,1.5,11000,26,7,19,21000,38,5800,290,3.8,32,570,3900,380,370,58,100
JZ104,Conrad,WTARC,Summer,9/1/2016,Delta,Dryland,8.52,0,8.52,0_12,Summer 2016,No_till,Chem_fallow,3933,1130,48.313,-111.925,2.1,13,10,1,17,160,9.9,7.6,0.4,38,230,1.5,23000,23,7.4,20,18000,38,5900,250,3.8,31,610,3300,380,570,50,89
JZ084,Sidney Dryland,EARC,Summer,2016-summer,AC Earlystar,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,3953,670,47.728,-104.148,1.9,12,16,1.8,18,130,2.7,7.5,0.34,38,160,1.5,25000,33,7.8,15,18000,38,8000,430,3.8,33,570,2200,380,570,36,66
JZ085,Sidney Dryland,EARC,Summer,2016-summer,CDC Saffron ,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,4172,670,47.728,-104.148,1.9,12,12,1.5,19,130,2.6,7.3,0.4,38,160,1.5,29000,31,7.9,15,18000,38,8300,410,3.8,32,630,2100,380,640,35,69
JZ086,Sidney Dryland,EARC,Summer,2016-summer,Delta,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,3628,670,47.728,-104.148,1.9,13,11,2,15,120,3.2,7.3,0.42,38,160,1.5,29000,23,8.3,16,17000,38,8500,430,3.8,32,600,2100,380,640,37,67
JZ087,Sidney Dryland,EARC,Summer,2016-summer,DS Admiral,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,3591,670,47.728,-104.148,1.7,11,12,2.2,15,120,2.6,7.4,0.34,38,140,1.5,23000,32,6.6,14,18000,38,8400,450,3.8,26,590,2100,380,530,38,59
JZ088,Sidney Dryland,EARC,Summer,2016-summer,Majoret,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,3819,670,47.728,-104.148,1.7,13,9.9,2.7,14,140,2.7,7.4,0.37,38,150,1.5,27000,31,7.8,14,18000,38,8000,430,3.8,28,590,2200,380,580,37,63
JZ089,Sidney Dryland,EARC,Summer,2016-summer,Navarro,Dryland,15.54,0,15.54,0_12,Summer 2016,Conventional,Chem_fallow,3765,670,47.728,-104.148,1.8,12,12,2.7,20,150,3.1,7.5,0.33,38,150,1.5,16000,28,7.9,14,18000,38,7000,430,3.8,26,590,2300,380,440,37,61
JZ090,Sidney Irrigated,EARC,Summer,2016-summer,AC Earlystar,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,4883,670,47.728,-104.148,2.8,23,25,1.6,26,400,32,7.8,1.2,38,160,1.5,26000,26,8,18,21000,38,11000,530,3.8,27,1100,4000,380,750,36,85
JZ091,Sidney Irrigated,EARC,Summer,2016-summer,CDC Saffron ,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,4887,670,47.728,-104.148,2.8,21,28,2.8,30,380,23,7.7,1.5,38,160,1.5,26000,24,7.8,19,21000,38,11000,510,3.8,26,1200,3800,380,710,36,84
JZ092,Sidney Irrigated,EARC,Summer,2016-summer,Delta,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,4352,670,47.728,-104.148,2.9,21,24,2,28,410,22,7.8,1.2,38,170,1.5,26000,25,8.3,19,21000,38,12000,530,3.8,25,1200,4000,380,750,37,87
JZ093,Sidney Irrigated,EARC,Summer,2016-summer,DS Admiral,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,4643,670,47.728,-104.148,2.8,22,28,2,29,410,21,7.8,1.6,38,170,1.5,27000,24,7.7,19,21000,38,12000,520,3.8,22,1200,4000,380,760,38,88
JZ094,Sidney Irrigated,EARC,Summer,2016-summer,Majoret,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,4406,670,47.728,-104.148,2.6,21,19,1.4,26,350,24,7.9,1.2,38,160,1.5,29000,25,8.1,19,20000,38,11000,510,3.8,27,1100,3800,380,780,36,84
JZ095,Sidney Irrigated,EARC,Summer,2016-summer,Navarro,Irrigated,15.54,5.83,21.37,0_12,Summer 2016,Conventional,Spring_wheat,3825,670,47.728,-104.148,2.8,21,26,1.9,27,380,17,7.8,1.4,38,170,1.5,28000,30,8.7,19,21000,38,12000,540,3.8,26,1100,4100,380,760,37,86
JZ096,Richland,EARC,Summer,2016-summer,AC Earlystar,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,5228,899,48.8,-105.42,3.5,12,18,1.5,16,380,2,6,0.64,38,250,1.5,3300,21,7.2,11,16000,38,3400,560,3.8,13,620,3100,380,320,31,61
JZ097,Richland,EARC,Summer,2016-summer,CDC Saffron,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,6043,899,48.8,-105.42,3.5,12,20,1.4,17,380,2.1,6.2,0.76,38,250,1.5,3500,22,7.2,12,15000,38,3300,540,3.8,12,620,3000,380,330,31,59
JZ098,Richland,EARC,Summer,2016-summer,Delta,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,5459,899,48.8,-105.42,3.4,12,16,1.1,19,380,1.9,6.2,0.65,38,250,1.5,3400,22,7.2,10,15000,38,3300,580,3.8,14,600,3100,380,330,32,59
JZ099,Richland,EARC,Summer,2016-summer,DS Admiral,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,5166,899,48.8,-105.42,3.1,11,16,1.2,15,300,1.7,6.1,0.53,38,230,1.5,3100,23,6.9,13,15000,38,3400,530,3.8,13,560,2900,380,290,30,56
JZ100,Richland,EARC,Summer,2016-summer,Majoret,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,4897,899,48.8,-105.42,2.2,11,10,1.6,10,200,1.7,6,0.44,38,250,1.5,3000,23,7.6,11,16000,38,3600,550,3.8,16,510,2900,380,260,33,62
JZ101,Richland,EARC,Summer,2016-summer,Navarro,Dryland,15.54,0,15.54,0_12,Summer 2016,No_till,Chem_fallow,5769,899,48.8,-105.42,2.9,12,19,1.9,9.8,290,1.7,6.2,0.54,38,230,1.5,3000,21,7.5,10,15000,38,3300,490,3.8,15,490,2800,380,300,31,56
JZ112,Corvallis,WARC,Summer,9/30/2016,Majoret,Irrigated,2.57,7,9.57,0_12,Summer 2016,Culti-roller,barley,1710,1097,46.327,-114.084,1.9,11,70,1.9,17,200,1.5,6.7,0.17,38,110,1.5,5100,25,5,7.9,11000,38,3400,260,3.8,14,530,2300,430,230,18,35
JZ109,Corvallis,WARC,Summer,9/30/2016,CDC Saffron,Irrigated,2.57,7,9.57,0_12,Summer 2016,Culti-roller,barley,3245,1097,46.327,-114.084,1.7,11,21,1.1,14,200,1.4,6.5,0.19,38,100,1.5,4300,21,3.9,7.5,11000,38,3000,250,3.8,11,540,2100,380,200,18,31
JZ110,Corvallis,WARC,Summer,9/30/2016,Delta,Irrigated,2.57,7,9.57,0_12,Summer 2016,Culti-roller,barley,2519,1097,46.327,-114.084,2,11,29,1.2,15,200,1.6,6.9,0.19,38,100,1.5,4700,16,4.5,7.5,11000,38,3200,260,3.8,8.7,510,2200,410,220,17,34
JZ111,Corvallis,WARC,Summer,9/30/2016,DS Admiral,Irrigated,2.57,7,9.57,0_12,Summer 2016,Culti-roller,barley,3005,1097,46.327,-114.084,1.7,10,32,1.6,12,190,1.3,6.8,0.17,38,120,1.5,5000,15,4.3,7.5,11000,38,3100,260,3.8,9.2,500,2200,420,220,17,31
JZ108,Corvallis,WARC,Summer,9/30/2016,AC Earlystar,Irrigated,2.57,7,9.57,0_12,Summer 2016,Culti-roller,barley,3148,1097,46.327,-114.084,1.7,11,47,1.2,24,240,1.3,6.7,0.18,38,110,1.5,4700,13,4.2,7.5,11000,38,3300,250,3.8,7.9,590,2300,390,220,17,34
